ucid,docket_text,labels
ksd;;5:16-cv-03008,JUDGMENT regarding Order 6 dismissing action without prejudice. ***Terminating Case. Signed by Deputy Clerk on 08/16/16. Mailed to pro se party Edward Barnett by regular mail. (smnd) (Entered: 08/16/2016),dismiss without prejudice|judgment
ksd;;2:17-cv-02216,"ORDER granting 8 Second Unopposed Motion for Extension of Time to Answer or Otherwise Plead. Defendants Liquidmetal Coating Solutions, LLC and Liquidmetal Welding, LLC answer or other responsive pleading due 6/20/2017. Signed by Magistrate Judge Kenneth G. Gale on 6/6/17. (This is a TEXT ENTRY ONLY. There is no.pdf document associated with this entry.) (aw) (Entered: 06/06/2017)",order
ksd;;2:16-cv-02253,"ANSWER to 9 Amended Complaint, by Flagship Financial Group, LLC.(Guletz, Matthew) (Entered: 07/05/2016)",answer
ksd;;2:16-cv-02349,"ORDER granting 84 Motion to Appear Pro Hac Vice of Matthew Philip Chiarizio for Enforcement Video, LLC pursuant to D. Kan. Rule 83.5.4 for purposes of this case only. Unless already registered, pro hac vice counsel should register for electronic notification pursuant to the court's Administrative Procedures by completing a CM/ECF Electronic Filing Registration Form at http://www.ksd.uscourts.gov/. Signed by Magistrate Judge James P. O'Hara on 6/28/18. (This is a TEXT ENTRY ONLY. There is no.pdf document associated with this entry.) (hw) (Entered: 06/28/2018)",order
ksd;;6:16-cr-10085,PETITION TO ENTER PLEA OF GUILTY AND ORDER ENTERING PLEA as to Sage Breeze Martin (1) Count 1 of the indictment. Signed by Chief Judge J. Thomas Marten on 8/25/2016. (mam) (Entered: 08/26/2016),order|petition
kyed;;5:16-cv-00331,"NOTICE to Take Deposition of Ilyse Lonsbury on 5/3/17 1:30 pm by Karen N. Woods.(Wingfield, Luke) (Entered: 04/04/2017)",notice|notice to take deposition
kyed;;5:17-cv-00129,"RESPONSE in Support re 17 MOTION to Partially Intervene by USA filed by Ramona Brooks, Jeffrey Richardson. (Marshall, Brandon) (Entered: 05/15/2018)",response
kyed;;5:17-cv-00349,"Summons Issued as to PNC Financial Services Group, Inc.; Summons issued and returned to counsel electronically (KM) (Entered: 08/22/2017)",summons
kyed;;0:17-cv-00130,"FRCP 7.1 DISCLOSURE STATEMENT by McKesson Corporation. (Phillips, Jeffrey) (Entered: 12/12/2017)",
kyed;;5:17-cv-00067,***FILE SUBMITTED TO PSO for review: 8 Supplementation of 4 Petition. (AWD) (Entered: 07/03/2017),
kyed;;7:16-cv-00179,"NOTICE by Appalachian Regional Health Care, Inc. of Service of ERISA Policy and Administrative Record (Rutherford, Oliver) (Entered: 09/13/2016)",notice|notice of service
kyed;;5:16-cv-00090,"FRCP 7.1 DISCLOSURE STATEMENT by Sun Life Assurance Company of Canada identifying Corporate Parent Sun Life Financial, Inc. for Sun Life Assurance Company of Canada.. (LC) (Entered: 03/25/2016)",
kyed;;5:17-cv-00081,"ORDER FOR MEETING AND REPORT: 1) NLT 30 days from the date of entry and service of this order, parties shall meet. 2) At the time of the meeting, exchange disclosures. 3) NLT 10 days after the meeting, file a written joint report. Signed by Judge Danny C. Reeves on 3/24/2017. (Attachments: # 1 Consent Form)(SCD)cc: COR (Entered: 03/24/2017)",order
kyed;;7:16-cv-00053,Conflict Check run. (TDA) (Entered: 04/27/2016),
kyed;;5:16-cv-00368,Clerk's Note: re 8 Answer to Complaint - Administrative transcript received at the Clerks' office and forwarded to Chambers. (LC) (Entered: 03/13/2017),
kywd;;4:17-cv-00133,"Summons Returned Unexecuted by Netherlands Insurance Company, Indiana Insurance Company as to The Summit, LLC. (Attachments: # 1 Exhibit Exhibit 1-USPS Receipt-The Summit) (Almasalkhi, Aida) (Entered: 10/16/2017)",summons
kywd;;3:16-cv-00708,"MOTION for S. Russell Headrick to Appear Pro Hac Vice Filing fee $ 125, receipt number 0644-2333340.by Defendant Assuant Employee Benefits Responses due by 12/12/2016 (Attachments: # 1 Affidavit A: Affidavit, # 2 Certificate of Good Standing, # 3 Proposed Order) (Salsburey, Joshua) (Entered: 11/17/2016)",motion|motion to appear pro hac vice
kywd;;5:16-cv-00158,"SUMMONS CERTIFICATE OF SERVICE by Kentucky Partners Management LLC, Pembroke Health Facilities, L.P., Preferred Care Partners Management Group, LP, Preferred Care of Delaware, Inc. SUMMONS (Attachments: # 1 Exhibit Green Card Returned) (Pullen, Andrew) (Entered: 10/21/2016)",summons
laed;;2:16-cv-09818,"SUMMONS Returned Executed; First Guaranty Bank served on 6/14/2016, answer due 7/5/2016. (cml) (Entered: 06/20/2016)",summons
laed;;2:17-cv-17728,FIRST SUPPLEMENTAL AND AMENDED COMPLAINT against Rooms To Go Louisiana Corp. filed by Gary Maggie. (Attachments: # 1 Exhibit 2-EEOC Final Determination) (cms) (Entered: 03/09/2018),complaint
laed;;2:16-cv-05141,"Remark ***Notice of Dismissal filed by DT, LLC -See Rec. Doc. 20255 -filed in 10-md-02179*** (aj) (Entered: 11/17/2016)",notice of dismissal
lamd;;3:16-cv-00800,"ORDER granting 26 JOINT Motion to for Voluntary Partial Dismissal with prejudice. Plaintiffs claims against Defendant,USAA Federal Savings Bank are hereby dismissed, with prejudice, with each partybearing his own costs. Signed by Chief Judge Brian A. Jackson on 3/19/2018. (LLH) (Entered: 03/19/2018)",case dismissed|dismiss with prejudice|granting motion to dismiss|order|party resolution|settlement order|settlement resolution
lamd;;3:17-cv-00643,"SUMMONS Returned Executed by Winn-Dixie Stores, Inc., Winn-Dixie Montgomery Leasing, LLC. H&R Property Management (US), LTD. served on 10/23/2017, answer due 11/13/2017. (Heisterhagen, Kasee) (Entered: 10/24/2017)",summons
lamd;;3:16-cv-00837,"MOTION for Leave to File Supplemental Memorandum in Opposition to Motion for Summary Judgment by All Plaintiffs. (Attachments: # 1 Proposed Order, # 2 Proposed Pleading;, # 3 Exhibit)(Lubecki, Przemek) (Entered: 01/31/2018)",motion|motion for leave|motion to file
lamd;;3:17-cv-00588,"ORDER granting 10 Second Motion for Extension within which to Serve Process. Plaintiff is given until January 26, 2017, to serve the complaint, summons and civil cover sheet upon the defendants. Signed by Magistrate Judge Erin Wilder-Doomes on 12/15/2017. (This is a TEXT ENTRY ONLY. There is no hyperlink or PDF document associated with this entry.) (BLR) (Entered: 12/15/2017)",order
lamd;;3:17-cv-00406,"Second Consent MOTION for Extension of Time Pre-Trial Order and Trial Date by Lanny Bergeron, Daryl Davis, Burnell Thompson, III, Douglas Thompson. (Mooney, Suzanne) Modified on 4/9/2020 to edit text (ELW). (Entered: 04/08/2020)",bilateral|motion|motion for time extension
lamd;;3:17-cv-00510,"NOTICE of Documents (Letter dated 9/5/2017 to Michael McConnell Re: Conflict of Interest) Returned to the Inmate for Non Compliance with Local Rule 5(e)(1). Document returned electronically and original returned via USPS. (Attachments: # 1 Local Rule 5, # 2 Gary Bailey Pleading)(SGO) (Entered: 09/11/2017)",notice
lamd;;3:17-cv-01731,NOTICE of Settlement Letter dated 01/31/2018 (KDC) (Entered: 02/06/2018),notice|notice of settlement|settlement reached|settlement resolution
lamd;;3:16-cr-00076,"***SEALED Presentence Report Addendum filed by USPO as to Guillermo Rodriguez. (For your free look at document, enter your ECF login and pw to confirm your right to view) (Stevens, Danielle) (Entered: 11/18/2016)",sealed
lamd;;3:16-cr-00003,Amended ORDER of Forfeiture as to Diaimean A. Brooks (4). Signed by Judge James J. Brady on 01/11/2017. (ELW) (Entered: 01/12/2017),order
lawd;;5:16-cv-01152,"Unopposed MOTION for Extension of Time to File Response/Reply as to 85 MOTION for Summary Judgment with consent by Cynthia F Peironnet Family L L C, Elizabeth Fry Franklin, Cynthia Fry Peironnet, Small Fry L L C, Eleanor Baugnies de St Marceaux. Motions referred to Karen L Hayes. (Attachments: # 1 Proposed order)(aty,Johnson, Christopher) (Entered: 07/03/2019)",motion|motion for time extension|unopposed
lawd;;5:17-cv-01474,"NOTICE of Remand to Clerk of 1st Judicial District Court for Caddo Parish. (crt,Crawford, A) (Entered: 03/29/2018)",notice|remand resolution
lawd;;6:17-cv-01511,"CORPORATE DISCLOSURE STATEMENT by Trend Services Inc. (aty,Gibson, Paul) (Entered: 11/28/2017)",
lawd;;6:16-cv-01502,"SUMMONS ISSUED as to Swiftships L L C. (crt,Crawford, A) (Entered: 11/01/2017)",summons
lawd;;5:16-cv-01193,"RESPONSE to Motion re 12 MOTION for Partial Summary Judgment filed by B H P Billiton Petroleum (K C S Resources) L L C, B H P Billiton Petroleum (TxLa Operating) Co, B H P Billiton Petroleum Properties (N A) L P, Petrohawk Energy Corp. (Attachments: # 1 ***See 23 Corrected Exhibit A*** Exhibit A-Declaration of Christopher Griffin, # 2 Exhibit B-Excerpts, # 3 Exhibit C-Affidavit of James F. Brannon, # 4 BHP's Response to Plaintiff's Statement of Material Facts Not At Issue)(aty,Rolen-Ogden, April) Modified on 1/10/2017 to indicate Corrected Exhibit A filed as document 23 (Dauterive, C). (Entered: 01/09/2017)",response
lawd;;6:17-cv-01559,"MOTION to Substitute Attorney D.C. Panagiotis in place of Michael F. Held with consent by B P Exploration & Production Inc, Schlumberger Technology Corp. Motions referred to Patrick J Hanna. (Attachments: # 1 Proposed order)(aty,Panagiotis, Diogenis) (Entered: 03/10/2020)",motion
lawd;;5:16-cv-01712,"ANSWER to Complaint with Jury Demand by Family Dollar Stores of Louisiana, Inc..(aty,McKay, Donald) (Entered: 12/14/2016)",answer
lawd;;6:17-cv-00773,"MOTION to Withdraw Lisa D. Hanchey as Attorney by Baker Hughes Inc. Motions referred to Carol B Whitehurst. (Attachments: # 1 Proposed order)(aty,Guidry, Gregory) (Entered: 08/10/2017)",motion|motion to withdraw
lawd;;5:16-cv-00330,"MAIL RETURNED as Undeliverable: Mail sent to Wesley Robinson, III, Caddo Correctional Center P O Box 70110 Shreveport, LA 71137, as to a copy of the docket sheet (per telephone request) returned marked: ""This [prisoner] number is not in our system."" Not deliverable as addressed. Unable to forward. (crt,Whidden, C) (Entered: 08/10/2016)",
lawd;;2:17-cv-01111,"EXHIBIT LIST by Brian King. (aty,Beasley, Kyle) (Entered: 10/21/2019)",
lawd;;2:16-cv-00180,"ORDER: Scheduling Conference set for 9/15/2016 @ 09:30 AM by phone before Magistrate Judge Kathleen Kay. (Attachments: # 1 Attachments to scheduling order)(crt,Benoit, T) (Entered: 07/06/2016)",order
lawd;;3:16-cv-00777,"Unopposed MOTION for Extension of Time to File Response/Reply with consent by Eazy-P Z L L C. Motions referred to Joseph H L Perez-Montes. Motion Ripe Deadline set for 3/25/2021. (Attachments: # 1 Proposed Order Granting Unopposed Motion for Extension of Time)(aty,Fischer, Jennifer) (Entered: 03/25/2021)",motion|motion for time extension|unopposed
lawd;;5:17-cv-00691,"CASE Assigned to Judge Robert G James and Magistrate Judge Mark L Hornsby. Motions referred to Mark L Hornsby. (crt,Thigpen, M) (Entered: 05/30/2017)",
lawd;;1:16-cv-01033,"MEMORANDUM ORDER granting 9 Motion to Remand to the Commissioner of Social Security for the purpose of rebuilding the lost file. IT IS FURTHER ORDERED that the reconstructed case SHALL be resubmitted on or before 4/17/2017. Signed by Magistrate Judge Joseph H L Perez-Montes on 12/05/16. (crt,Tice, Y) (Entered: 12/05/2016)",memorandum|order|remand resolution
lawd;;6:17-cv-00952,"APPELLANT'S BRIEF by Gary L Hill. Appellee Brief due by 2/16/2018. (aty,Curtis, Lawrence) (Entered: 01/02/2018)",brief
lawd;;5:16-cr-00249,"ORDER granting 32 Motion to Substitute Attorney Earl M. Campbell in place of Robert Paul Gillespie for USA as to Patsy Caskey Gadpaille (1). Signed by Magistrate Judge Mark L Hornsby on 9/7/2017. (crt,YocumSld, M) (Entered: 09/07/2017)",order
mad;;4:17-cv-40150,"ELECTRONIC NOTICE of Case Reassignment. District Judge Timothy S. Hillman assigned to case. If the trial Judge issues an Order of Reference of any matter in this case to a Magistrate Judge, the matter will be transmitted to Magistrate Judge David H. Hennessy. (Danieli, Chris) (Entered: 11/29/2017)",notice|notice of assignment
mad;;4:16-cv-10127,"Certified Copy of Notice of Removal Provided to Defense Counsel by mail.(Burgos, Sandra) (Entered: 01/27/2016)",
mad;;1:17-cv-11570,"NOTICE of Case Assignment. Magistrate Judge M. Page Kelley assigned to case. Plaintiff's counsel, or defendant's counsel if this case was initiated by the filing of a Notice of Removal, are directed to the Notice and Procedures regarding Consent to Proceed before the Magistrate Judge which can be downloaded here. These documents will be mailed to counsel not receiving notice electronically. Pursuant to General Order 09-3, until the Court receives for filing either a consent to the Magistrate Judge's jurisdiction or the reassignment of the case to a District Judge, the initial assignment of a civil case to the Magistrate Judge is a referral to the Magistrate Judge under 28 USC 636(b) for all pretrial non-dispositive matters and Report and Recommendations, but not for the Rule 16(b) scheduling conference. (McDonagh, Christina) (Entered: 08/22/2017)",notice|notice of assignment
mad;;1:17-cv-11183,"NOTICE OF MDL CASE CLOSED, Direct file in the District of Massachusetts; Stryker LFIT V40 Femoral Head Products Liability Litigation. (Vieira, Leonardo) (Entered: 11/18/2019)",notice
mad;;1:16-cv-12286,"NOTICE - Defendants International Building Corp. and Ronald J. Rose are directed to file their 16.1 Certifications forthwith. (Caruso, Stephanie) (Entered: 06/09/2017)",notice
mad;;1:17-cv-10197,"NOTICE of Case Assignment. Magistrate Judge Donald L. Cabell assigned to case. Plaintiff's counsel, or defendant's counsel if this case was initiated by the filing of a Notice of Removal, are directed to the Notice and Procedures regarding Consent to Proceed before the Magistrate Judge which can be downloaded here. These documents will be mailed to counsel not receiving notice electronically. (Caruso, Stephanie) (Entered: 02/06/2017)",notice|notice of assignment
mad;;1:17-cv-12491,"Judge Allison D. Burroughs: ELECTRONIC ORDER entered finding as moot 12 Motion to Dismiss for Lack of Jurisdiction (Folan, Karen) (Entered: 04/27/2018)",order
mdd;;8:16-cv-02790,"REPLY to Response to Motion re 14 MOTION for Judgment Plaintiffs' Motion for Jugment on the Pleadings on Count I of The First Amended Complaint Plaintiffs' Reply to Defendants' Opposition to Motion for Judgment on the Pleadings filed by Daniel J Chamberlin, Angela Dunham, Melissa Edwards, James Hard, Andrew P. Levin. (Attachments: # 1 Exhibit)(Johnson, Vernon) (Entered: 11/28/2016)",response
mdd;;1:17-cv-00800,"PAPERLESS ORDER. The SCHEDULING TELEPHONE CONFERENCE that was previously set in for 2/4/19 is RESCHEDULED to 2/20/19 at 11:15 a.m. Counsel for the Plaintiff is directed to arrange for and initiate the conference call to Chambers. Signed by Chief Judge James K. Bredar on 2/4/2019. (vdcs, Chambers) (Entered: 02/04/2019)",order
mdd;;8:16-cv-00512,"ORDER of USCA ""DISMISSING"" this proceeding for failure to prosecute pursuant to Local Rule 45 as to 9 Notice of Appeal filed by Lacy Lee Williams, Jr (krcs, Deputy Clerk) (Entered: 09/15/2016)",case dismissed|order
mdd;;8:16-cv-00449,"Jury Demand (kw2s, Deputy Clerk) (Entered: 02/18/2016)",
mdd;;8:17-cr-00587,"PAPERLESS NOTICE that a REARRAIGNMENT is scheduled for March 19, 2018 at 2:00 p.m. before Judge Theodore D. Chuang at the United States Courthouse located at 6500 Cherrywood Lane in Greenbelt, Maryland. The specific courtroom for the rearraignment will be available the week of the proceeding on the Court's website. The U.S. Attorneys Office is responsible for ordering any come up or translators needed. If either party seeks a change in the defendants detention status or release conditions, that party must notify opposing counsel, Chambers, U.S. Probation and Pretrial Services, and, if necessary, the U.S. Marshals Service of that request in advance of the proceeding. The parties are reminded to provide a copy of any plea agreement to Chambers in advance of the proceeding, and, if they wish to convert the rearraignment to a status conference, to so notify Chambers by March 15, 2018. (nr, Chambers) (Entered: 03/13/2018)",notice
mdd;;8:16-cr-00503,"Consent MOTION to Exclude Time from Speedy Trial Act Calculation by USA as to Michael Wayne Brown, Jr. (Attachments: # 1 Text of Proposed Order)(McKenzie, Ray) (Entered: 08/11/2017)",bilateral|motion|motion to exclude
mdd;;1:17-cr-00001,"Request for Modifying Conditions or Supervision with Consent as to Jeffrey Jerome Hamilton (Attachments: # 1 Prob 49-Waiver of Hearing)(Crystal Mercer, Probation Supervisor) (Entered: 02/05/2019)",bilateral
med;;2:16-cv-00462,"RESPONSE in Opposition re 20 Second MOTION to Extend Time To Serve Written Questions filed by DOUGLAS BURKA. Reply due by 2/2/2017. (DINAN, CHRISTOPHER) (Entered: 01/19/2017)",response
med;;2:17-cv-00455,"Letter MOTION to Change Venue by Alfred H. Harrington. (James, John) [Transferred from New York Eastern on 11/17/2017.] (Entered: 11/02/2017)",motion|motion to transfer|transferred entry
med;;2:17-cv-00352,"Filing Fee Paid via Credit Card ( Filing fee $ 400 receipt number 0100-1739677.), filed by ROBERT LLOYD, DIANA LLOYD.(FITZGERALD, KEVIN) (Entered: 09/11/2017)",
med;;2:17-cv-00390,ORDER granting 9 Motion to Continue Sealing; granting 10 Motion to Extend Time to Serve Process By JUDGE JON D. LEVY. (akr) (Entered: 02/02/2018),order
med;;2:17-cv-00133,Reset Answer Deadline for LIFE INSURANCE COMPANY OF NORTH AMERICA -per Order No. 7: Answer due by 7/12/2017. (lrc) (Entered: 06/09/2017),
med;;2:16-cv-00423,"JUDGMENT It is hereby ORDERED that any motion for attorney's fees shall be filed within the time specified in Local Rule 54.2 of this Court.
 By DEPUTY CLERK: Carianne Sawyer. (ccs) Modified on 7/17/2017 to correctly identify Deputy Clerk as signer (ccs). (Entered: 06/12/2017)",judgment
med;;1:16-cv-00633,"PROCEDURAL ORDER: Statement of Errors/Fact Sheet due by 6/5/2017. Ready for SS Oral Argument the week of 9/11/2017. By Melody Whitten, Deputy Clerk (mnw) (Entered: 05/04/2017)",order
med;;2:16-cv-00578,Notice of USCA Case Number: 18-1195. (jgd) (Entered: 03/06/2018),notice
med;;2:17-cr-00016,PROCEDURAL ORDER IN A CRIMINAL CASE as to NICHOLAS A COY Motions due by 2/13/2017. Ready for Trial on 3/6/2017. By MAGISTRATE JUDGE JOHN H. RICH III. (ccs) (Entered: 01/30/2017),order
mied;;2:16-cv-12243,"REQUEST by United States of America for issuance of continuing writ of garnishment as to Vonceil Fields-Pryor and garnishee Fca Usa llc. (Attachments: # 1 Document Continuation Writ of Continuing Garnishment & Clerk's Notice) (Holzman, Charles) (Entered: 12/21/2016)",
mied;;4:16-cv-14254,"ANSWER TO AFFIRMATIVE DEFENSES by Complete Prototype Services, Inc.. (Donovan, William) (Entered: 09/29/2017)",answer
mied;;4:17-cv-13292,Minute Entry for proceedings before District Judge Paul D. Borman: Telephonic Status Conference held on 10/10/2017. (Court Reporter: Leann Lizza) (DTof) (Entered: 10/10/2017),minute entry
mied;;2:16-cv-10322,SUMMONS Issued for *Department of Homeland Security* (DWor) (Entered: 02/01/2016),summons
mied;;2:16-cv-10757,"NOTICE by United States of America Invocation of Supplemental Rule G(6) Requiring Claimant to Answer Special Interrogatories Before Government Must Respond to Claimant's Motion to Dismiss (Kuebler, Paul) (Entered: 04/27/2016)",notice
mied;;2:17-cv-12600,"Addition of Parties to CM/ECF: Plaintiffs Ross Education, LLC, Ross Education, LLC Employee Benefits Plan, Ross Learning, Inc., Ross Learning, Inc.'s Employee Benefits Plan. Reason: The party was not added to CM/ECF when e-filing 20 Amended Complaint, (Phelps, Aaron) (Entered: 11/22/2017)",
mied;;2:16-cv-10727,"Set/Reset Deadlines as to 10 MOTION to Affirm ERISA Determination, 11 MOTION for Summary Judgment . Motion Hearing reset for 1/9/2017 10:00 AM before District Judge Gershwin A. Drain (TBan) (Entered: 10/17/2016)",
mied;;2:17-cv-10001,"ORDER DENYING MOTION FOR LEAVE TO APPEAR WITHOUT DESIGNATING LOCAL COUNSEL, AND STRIKING ATTACHMENT [dkt. #12-1] AND IMAGES FROM THE CM/ECF SYSTEM. Signed by District Judge David M. Lawson. (LHos) (Entered: 02/16/2017)",order
mied;;2:17-cv-13145,"[WRONG EVENT USED - DOCUMENT IS A MOTION] STIPULATION for award of EAJA fees by Courtney Hall Pickett (Thompson, Nicole) Modified on 6/15/2018 (DWor). (Entered: 06/14/2018)",bilateral|error|stipulation
mied;;4:16-cr-20787,"NOTICE OF ATTORNEY APPEARANCE: Christopher W. Quinn, II appearing for Jose Flores (SSch) (Entered: 12/09/2016)",notice|notice of appearance
miwd;;1:16-cv-00754,"JOINT STATUS REPORT (Carpenter, Stephanie) (Entered: 09/08/2016)",bilateral|report
miwd;;1:16-cv-01312,"CORPORATE DISCLOSURE STATEMENT by State Farm Fire and Casualty Company identifying Corporate Parent State Farm Mutual Automobile Insurance Company for State Farm Fire and Casualty Company (Daniels, Matthew) (Entered: 11/09/2016)",
miwd;;1:16-cv-00251,"PROOF OF SERVICE by plaintiff Tammy Fredenburg re Notice to Take Deposition 50 (Jilek, Jonathan) (Entered: 11/14/2016)",
miwd;;1:16-cv-00017,"JUDGMENT; signed by District Judge Paul L. Maloney (Judge Paul L. Maloney, cmc) (Entered: 02/11/2016)",judgment
miwd;;2:16-cv-00063,"ORDER denying 1 motion to vacate, set aside or correct sentence (2255) and denying certificate of appealability ; signed by Judge Robert Holmes Bell (Judge Robert Holmes Bell, kcb) (Entered: 01/11/2017)",order
miwd;;1:16-cv-00664,"MINUTES of scheduling conference held before Judge Janet T. Neff; Case Management Order to issue; (Court Reporter: not recorded) (Judge Janet T. Neff, rmw) (Entered: 08/22/2016)",minute entry
miwd;;1:17-cv-00803,"JOINT STATUS REPORT (Calati, Hope) (Entered: 11/13/2017)",bilateral|report
miwd;;1:16-cv-00171,"OPINION; Judgment to issue; signed by Judge Janet T. Neff (Judge Janet T. Neff, clb) (Entered: 10/28/2016)",
miwd;;1:16-cv-00486,NOTICE that this case has been assigned to Judge Janet T. Neff and Magistrate Judge Ray Kent for all further proceedings (ems) (Entered: 08/15/2016),notice|notice of assignment
miwd;;1:17-cv-00726,"COMPLAINT against Commissioner of Social Security filed by Susan Elaine Panzegrau Ruster (Attachments: # 1 Civil Cover Sheet, # 2 Summons, # 3 Summons, # 4 Summons) (Osterhout, Karl) Modified text on 8/11/2017 (ems). Modified text on 8/16/2017 (ems). (Entered: 08/11/2017)",complaint
miwd;;1:16-cr-00016,"TRANSCRIPT of Plea Proceedings as to defendant Luis De La Cruz held August 30, 2016 before Honorable Ray Kent ; NOTE: this transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the release of transcript restriction date; after that date it may be obtained through PACER; under the Policy Regarding Transcripts the parties have 14 days within which to file a Notice of Intent to Request Redaction, and 21 days within which to file a Redaction Request; if no Redaction Request is filed, the court will assume redaction of personal identifiers is not necessary and this transcript will be made available via PACER after the release of transcript restriction set for 1/23/2017 ; redaction request due 11/14/2016 (Court Reporter-Transcriptionist: Anderson, Kathy (616) 914-2384) (Entered: 10/24/2016)",
miwd;;1:17-cr-00167,"AMENDED INITIAL PRETRIAL CONFERENCE SUMMARY STATEMENT by USA as to defendant Mark Jay Poore, Jr (Reust, Davin) (Entered: 10/06/2017)",
mnd;;0:16-cv-01109,"FILED IN ERROR: TEXT ONLY ENTRY: NOTICE of Non-Compliance with Local Rule 5.6 Filing Under Seal in Connection with Civil Motion Practice for 35 Exhibit, 37 Exhibit. Please file the Joint Motion according to the rule. (TMA) Modified text on 3/28/2017 (KMM). (Entered: 03/28/2017)",error|notice
mnd;;0:16-cv-03228,"MOTION for Sanctions filed by Stinson Leonard Street, LLP, William Syverson. (Pentelovitch, Norman) (Entered: 05/21/2018)",motion|motion for sanctions
mnd;;0:17-cv-00442,"Summons Issued as to Clyde Machines, Inc., Dennis Deboer. (LPH) (Entered: 02/10/2017)",summons
mnd;;0:17-cv-05189,"PROPOSED ORDER TO JUDGE re 30 Stipulation. (Savran, Jessica) (Entered: 02/05/2018)",order|proposed
mnd;;0:17-cv-04624,"SUMMONS Returned Executed by Lemond Properties, LLC. Chart, Inc. served on 10/16/2017, answer due 11/6/2017. (Krenn, John) (Entered: 10/18/2017)",summons
mnd;;0:17-cv-04433,"TEXT ONLY ENTRY. COUNSEL PLEASE NOTE: This docket contains pleadings and orders pertaining to this case only and some, but not all, orders from the master case file In re: Bair Hugger Forced Air Warming Devices Products Liability Litigation, 0:15-md-2666 (JNE/FLN). Counsel shall read and comply with all Pretrial Orders filed in this master case.Pleadings filed and orders issued in the master case may be accessed through the master docket sheet at 0:15-md-2666-JNE-FLN. Additionally, access to Pretrial Orders, minutes, transcripts, and other documents issued in the master case may be found on the Bair Hugger MDL website at: www.mnd.uscourts.gov/MDL-Bair-Hugger/index.shtml . (las) (Entered: 09/28/2017)",
mnd;;0:17-cv-00527,Minute Entry for proceedings held before Magistrate Judge Katherine M. Menendez: Initial Pretrial Conference held on 5/18/2017. The Court and counsel discussed the scheduling and discovery needs of the case. The Court will hold a settlement conference in the fall. A scheduling Order will be issued. (KNK) (Entered: 05/19/2017),minute entry
mnd;;0:16-cr-00225,"Minute Entry for proceedings held before Magistrate Judge Leo I. Brisbois: Detention Hearing as to Kristen Heather Leigh Johns held on 8/18/2016. Counsel present. Deft released with conditions, see Order Setting Conditions of Release. (LPH) (Entered: 08/19/2016)",minute entry
moed;;4:17-cv-02504,"Pursuant to Local Rule 2.08, the assigned/referred magistrate judge is designated and authorized by the court to exercise full authority in this assigned/referred action or matter under 28 U.S.C. Sec. 636 and 18 U.S.C Sec. 3401, including any case budgeting matters. (CSAW) (Entered: 09/29/2017)",
moed;;4:16-cv-00336,Mail Returned as Undeliverable. Mail sent to Chevalier Howard. Returned document(s): Letter and Complaint. New address given to LMR and clerk resent document. (EAB) (Entered: 04/14/2016),
moed;;4:17-cv-02609,"ENTRY of Appearance by J. Todd Applegate for Defendant Experian Information Solutions, Inc.. (Applegate, J.) (Entered: 11/03/2017)",
moed;;4:17-cv-02372,"MEMORANDUM in Opposition re 6 MOTION to Compel Arbitration filed by Plaintiff Justin Donald. (Hamby, S.) (Entered: 09/29/2017)",memorandum
moed;;4:17-cv-02184,"NOTICE OF PROCESS SERVER by Plaintiffs International Brotherhood of Teamsters, Airline Division, International Brotherhood of Teamsters, Local Union No. 618 Process Server: Tim Moore, Pro Serve Legal Services (Taylor, Trent) (Entered: 08/01/2017)",notice
moed;;4:16-cv-01784,"ANSWER to 1 Complaint,, by Metropolitan Life Insurance Company.(Buckley, Ann) (Entered: 01/17/2017)",answer
moed;;4:17-cv-02541,"Docket Text ORDER: Re: 5 MOTION for Extension of Time to File Answer re 1 Complaint, by Defendants David Douglas, Elaine Duke, James McCament, Chester Moyer. (Rund, Jane) filed by David Douglas, Elaine Duke, Chester Moyer, James McCament ; ORDERED GRANTED. ANSWER DUE 1/17/18. Signed by District Judge Stephen N. Limbaugh, Jr on 12/15/17. (MRS) (Entered: 12/15/2017)",order
moed;;1:17-cr-00107,Arrest of defendant Reggie B. Matthews date of arrest: 03/04/2021 (CMH) (Entered: 03/04/2021),arrest
mowd;;4:16-cv-00005,"Rule 16 Notice. Proposed scheduling order due by 2/22/2016. Rule 26 conference due by 2/8/2016. Signed on 1/7/16 by Chief District Judge Greg Kays. (Francis, Alexandra) (Entered: 01/07/2016)",notice
mowd;;3:16-cv-05003,"MOTION for discovery filed by John Steven Vanderbol, III. Suggestions in opposition/response due by 6/6/2016 unless otherwise directed by the court. (Vanderbol, John) (Entered: 05/19/2016)",motion|motion for discovery
mowd;;4:16-cv-01324,"NOTICE OF APPEAL as to 22 Clerk's Judgment filed by Melvin Leroy Tyler. (Davies, Cindy) (Entered: 06/29/2017)",notice|notice of appeal
mowd;;4:17-cv-00976,"ORDER that Petitioner file a reply, on or before February 23, 2018, to Respondents Response to the Order to Show Cause (Doc. 10 ), or this case may be dismissed without further notice. Signed on 1/24/18 by District Judge Howard F. Sachs. This is a TEXT ONLY ENTRY. No document is attached. (Sholes, Amber) (Entered: 01/24/2018)",order
mowd;;5:16-cv-06056,"MAIL RETURNED as undeliverable; marked ""return to sender - not in custody."" Mail sent to Michael Singleton. (Related document 5 ) (Thoennes, Cindy) (Entered: 06/06/2016)",
